image_path,rank,color_hex,share
data/latest/images/Chanel_haute_couture_2020_21361c5a33592a14.jpg,2,#2f2f2f,0.24502743484224965
data/latest/images/Chanel_haute_couture_2020_21361c5a33592a14.jpg,3,#dfdfdf,0.17195130315500687
data/latest/images/Chanel_haute_couture_2020_21361c5a33592a14.jpg,4,#515151,0.0984286694101509
data/latest/images/Chanel_haute_couture_2020_21361c5a33592a14.jpg,5,#afafaf,0.0954320987654321
data/latest/images/Balmain_burgundy_runway_2025_12a898d0face248d.jpg,1,#171b1b,0.3432652395519151
data/latest/images/Balmain_burgundy_runway_2025_12a898d0face248d.jpg,2,#585659,0.3212609693547615
data/latest/images/Balmain_burgundy_runway_2025_12a898d0face248d.jpg,3,#f8e7e2,0.2378523394978231
data/latest/images/Balmain_burgundy_runway_2025_12a898d0face248d.jpg,4,#9e745e,0.056426482367930075
data/latest/images/Balmain_burgundy_runway_2025_12a898d0face248d.jpg,5,#bfb6b2,0.04119496922757021
data/latest/images/leopard_print_runway_1990s_2a577bc2c8574b06.jpg,1,#090503,0.31798112116212474
data/latest/images/leopard_print_runway_1990s_2a577bc2c8574b06.jpg,2,#373029,0.2058080635679202
data/latest/images/leopard_print_runway_1990s_2a577bc2c8574b06.jpg,3,#8b7b75,0.1824220572338852
data/latest/images/leopard_print_runway_1990s_2a577bc2c8574b06.jpg,4,#b9a799,0.14706780641368455
data/latest/images/leopard_print_runway_1990s_2a577bc2c8574b06.jpg,5,#6a594c,0.14672095162238533
data/latest/images/Balmain_burgundy_runway_2025_9cdabcf428dcd8b2.jpg,1,#dbd4e4,0.400513114071607
data/latest/images/Balmain_burgundy_runway_2025_9cdabcf428dcd8b2.jpg,2,#ede7f3,0.39107514571190677
data/latest/images/Balmain_burgundy_runway_2025_9cdabcf428dcd8b2.jpg,3,#b6392a,0.16067964196502915
data/latest/images/Balmain_burgundy_runway_2025_9cdabcf428dcd8b2.jpg,4,#412c2a,0.038548084929225644
data/latest/images/Balmain_burgundy_runway_2025_9cdabcf428dcd8b2.jpg,5,#b58779,0.009184013322231474
data/latest/images/Balmain_burgundy_runway_2025_54bc7e26686d5059.jpg,1,#c4bab2,0.29673015873015873
data/latest/images/Balmain_burgundy_runway_2025_54bc7e26686d5059.jpg,2,#191410,0.25656349206349205
data/latest/images/Balmain_burgundy_runway_2025_54bc7e26686d5059.jpg,3,#4b3c34,0.20274126984126983
data/latest/images/Balmain_burgundy_runway_2025_54bc7e26686d5059.jpg,4,#716e6f,0.18730952380952381
