signal,name,score,extra
color,#0a0a0a,11.0,hex
color,#06070a,9.0,hex
color,#0f0f0f,8.0,hex
color,#090a0c,7.0,hex
color,#0a0714,7.0,hex
color,#030406,7.0,hex
color,#07090b,6.0,hex
color,#060606,6.0,hex
color_family,neutrals,792.0,
color_family,earth,273.0,
color_family,pastels,165.0,
color_family,primary/jewel,82.0,
color_family,blue/purple,68.0,
color_family,jewel,18.0,
